policy_id,description,tested,total_trades,active_trades,entries_skipped,trades_affected,winners_cut_early,losers_cut_early,new_net_pnl,new_win_rate,new_avg_pnl,new_median_pnl,new_max_loss,new_expectancy,tail_loss_contribution_abs,tail_loss_reduction_abs,tail_loss_reduction_pct,target_hit_count_new,target_hit_change,note,delta_net_pnl_vs_baseline,max_loss_improvement
DROP_1_WITHIN_10S,Exit if premium drops 1 point within first 10 seconds,True,49,49,0,30,23,7,-30653.99999999994,0.3877551020408163,-625.5918367346927,-2697.0000000000846,-14640.999999999958,-625.5918367346927,33043.000000000065,626897.0,0.9499302966936386,19,-23,,398226.0,301773.00000000006
DROP_1_WITHIN_15S,Exit if premium drops 1 point within first 15 seconds,True,49,49,0,30,23,7,-30653.99999999994,0.3877551020408163,-625.5918367346927,-2697.0000000000846,-14640.999999999958,-625.5918367346927,33043.000000000065,626897.0,0.9499302966936386,19,-23,,398226.0,301773.00000000006
DD_5_WITHIN_20S,Exit if drawdown exceeds 5 points within first 20 seconds,True,49,49,0,18,11,7,-58470.99999999988,0.6326530612244898,-1193.285714285712,4740.0,-21204.000000000062,-1193.285714285712,93061.00000000003,566879.0000000001,0.858985665363518,31,-11,,370409.00000000006,295209.99999999994
DD_3_WITHIN_15S,Exit if drawdown exceeds 3 points within first 15 seconds,True,49,49,0,24,17,7,-64463.99999999994,0.5102040816326531,-1315.5918367346926,4200.0,-15759.000000000071,-1315.5918367346926,74911.00000000003,585029.0000000001,0.8864881655908113,25,-17,,364416.0,300654.99999999994
DD_2_WITHIN_10S,Exit if drawdown exceeds 2 points within first 10 seconds,True,49,49,0,27,20,7,-72158.99999999984,0.4489795918367347,-1472.6326530612212,-3826.9999999999595,-15759.000000000071,-1472.6326530612212,68078.00000000006,591862.0,0.8968421371639844,22,-20,,356721.0000000001,300654.99999999994
MFE_LT_0_5_BY_10S,Exit if MFE is below +0.5 after 10 seconds,True,49,49,0,8,2,6,-205414.99999999985,0.8163265306122449,-4192.142857142854,5280.0,-316414.0,-4192.142857142854,428954.99999999994,230985.00000000017,0.3500090917356125,40,-2,,223465.0000000001,0.0
NO_PLUS_0_5_BY_5S,Exit if premium fails to gain +0.5 within 5 seconds,True,49,49,0,17,11,6,-222122.99999999974,0.6938775510204082,-4533.122448979587,4680.0,-316414.0,-4533.122448979587,369175.9999999998,290764.0000000003,0.4405915689305092,31,-11,,206757.0000000002,0.0
NO_PLUS_1_BY_10S,Exit if premium fails to gain +1.0 within 10 seconds,True,49,49,0,9,3,6,-238766.99999999983,0.7959183673469388,-4872.795918367344,5280.0,-316414.0,-4872.795918367344,428954.99999999994,230985.00000000017,0.3500090917356125,39,-3,,190113.00000000012,0.0
CONT_PUT_NO_PLUS_1_BY_10S,Continuation put only: exit if no +1 in 10 seconds,True,49,49,0,4,1,3,-296183.0,0.8367346938775511,-6044.551020408163,5280.0,-316414.0,-6044.551020408163,519723.00000000006,140217.00000000006,0.21246931539230846,41,-1,,132696.99999999994,0.0
MFE_LT_1_BY_15S,Exit if MFE is below +1.0 after 15 seconds,True,49,49,0,7,1,6,-305990.9999999998,0.8367346938775511,-6244.714285714283,5280.0,-316414.0,-6244.714285714283,507306.99999999994,152633.00000000017,0.2312831469527535,41,-1,,122889.00000000012,0.0
NO_PLUS_1_BY_15S,Exit if premium fails to gain +1.0 within 15 seconds,True,49,49,0,7,1,6,-305990.9999999998,0.8367346938775511,-6244.714285714283,5280.0,-316414.0,-6244.714285714283,507306.99999999994,152633.00000000017,0.2312831469527535,41,-1,,122889.00000000012,0.0
DROP_1_WITHIN_5S,Exit if premium drops 1 point within first 5 seconds,True,49,49,0,28,22,6,-333036.9999999999,0.40816326530612246,-6796.673469387752,-2697.0000000000846,-316414.0,-6796.673469387752,347129.00000000006,312811.00000000006,0.4739991514380095,20,-22,,95843.00000000006,0.0
REV_PUT_NO_PLUS_1_BY_10S,Reversal put only: exit if no +1 in 10 seconds,True,49,49,0,1,0,1,-366627.9999999999,0.8571428571428571,-7482.204081632651,5280.0,-316414.0,-7482.204081632651,597688.0,62252.00000000012,0.09432978755644468,42,0,,62252.00000000006,0.0
DD_8_WITHIN_20S,Exit if drawdown exceeds 8 points within first 20 seconds,True,49,49,0,11,5,6,-379333.99999999994,0.7551020408163265,-7741.510204081632,4860.0,-316414.0,-7741.510204081632,476281.99999999994,183658.00000000017,0.2782949965148349,37,-5,,49546.0,0.0
POST_1230_NO_PLUS_1_BY_10S,Post-12:30 trades: exit if no +1 in 10 seconds,True,49,49,0,4,0,4,-420920.99999999994,0.8571428571428571,-8590.224489795917,5280.0,-316414.0,-8590.224489795917,651981.0,7959.000000000116,0.012060187289753789,42,0,,7959.0,0.0
CONT_CALL_NO_PLUS_1_BY_10S,Continuation call only: exit if no +1 in 10 seconds,True,49,49,0,3,1,2,-426225.9999999999,0.8367346938775511,-8698.489795918365,5280.0,-316414.0,-8698.489795918365,623934.0,36006.00000000012,0.054559505409582855,41,-1,,2654.000000000058,0.0
SPOT_REVERT_3_FROM_TRIGGER,Exit if spot reverts 3 points from trigger after entry,False,49,49,0,0,0,0,-428879.99999999994,0.8571428571428571,-8752.653061224488,5280.0,-316414.0,-8752.653061224488,659940.0000000001,0.0,0.0,42,0,Not testable from current logs: spot ticks after entry are not captured in OPEN_POSITION_MARK.,0.0,0.0
SPOT_REVERT_2_FROM_TRIGGER,Exit if spot reverts 2 points from trigger after entry,False,49,49,0,0,0,0,-428879.99999999994,0.8571428571428571,-8752.653061224488,5280.0,-316414.0,-8752.653061224488,659940.0000000001,0.0,0.0,42,0,Not testable from current logs: spot ticks after entry are not captured in OPEN_POSITION_MARK.,0.0,0.0
BASELINE,Actual outcomes from logs,True,49,49,0,0,0,0,-428879.99999999994,0.8571428571428571,-8752.653061224488,5280.0,-316414.0,-8752.653061224488,659940.0000000001,0.0,0.0,42,0,,0.0,0.0
SPOT_REVERT_5_FROM_TRIGGER,Exit if spot reverts 5 points from trigger after entry,False,49,49,0,0,0,0,-428879.99999999994,0.8571428571428571,-8752.653061224488,5280.0,-316414.0,-8752.653061224488,659940.0000000001,0.0,0.0,42,0,Not testable from current logs: spot ticks after entry are not captured in OPEN_POSITION_MARK.,0.0,0.0
REV_CALL_NO_PLUS_1_BY_10S,Reversal call only: exit if no +1 in 10 seconds,True,49,49,0,1,1,0,-436369.9999999999,0.8367346938775511,-8905.510204081631,5280.0,-316414.0,-8905.510204081631,667430.0,-7489.999999999884,-0.0113495166227231,41,-1,,-7489.999999999942,0.0
EARLY_FAIL_NO_RECOVERY_10S,Exit if early-failure occurs and no recovery within 10 seconds,True,49,49,0,8,3,5,-455773.9999999999,0.7959183673469388,-9301.510204081631,5280.0,-316414.0,-9301.510204081631,641704.9999999999,18235.000000000233,0.027631299815135058,39,-3,,-26893.99999999994,0.0
POST_1PM_DD_2_WITHIN_10S,Post-1PM trades: exit on 2-point drawdown in 10 seconds,True,49,49,0,9,5,4,-459451.0000000001,0.7551020408163265,-9376.551020408166,4800.0,-316414.0,-9376.551020408166,620426.0000000001,39514.0,0.059875140164257344,37,-5,,-30571.000000000175,0.0
EARLY_FAIL_NO_RECOVERY_15S,Exit if early-failure occurs and no recovery within 15 seconds,True,49,49,0,6,1,5,-460812.00000000006,0.8367346938775511,-9404.326530612247,5280.0,-316414.0,-9404.326530612247,652440.0,7500.000000000116,0.011364669515410666,41,-1,,-31932.000000000116,0.0
