date,variant_name,candidate_count,selected_trades,gross_pnl,net_pnl,win_rate,avg_pnl,profit_factor,max_drawdown,target_hits,one_sec_kills,three_sec_kills,hard_stops,promoted_count,promoted_pnl,average_hold_time,average_runup,average_drawdown,delta_net_pnl_vs_actual,delta_trade_count_vs_actual,delta_profit_factor_vs_actual,delta_max_drawdown_vs_actual
2026-04-27,actual_system,,48,-10675.00000000001,-10675.00000000001,0.375,-222.3958333333335,0.6770045385779121,-30349.999999999964,13,18,14,3,6,-200.00000000004547,3.5748001666666673,1.7770833333333371,-1.9218749999999976,0.0,0.0,0.0,0.0
2026-04-27,ATM100_SCORE4_P80_300_SPREAD1P5_DEPTH250,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,ATM200_SCORE5_P100_350_SPREAD2_DEPTH250,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,CTX_ATM100_SCORE4_P80_300,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,CTX_ATM200_SCORE5_P100_350,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,LOOSE_CTX_ATM100_SCORE4_P80_300,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,ATM100_SCORE4_TRANSMISSION,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,ATM100_SCORE4_STRONG_TRANSMISSION,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,ATM_ONLY_SCORE5_P100_300_SPREAD1P5_DEPTH500,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-27,CTX_ATM_ONLY_SCORE5_P100_300_SPREAD1P5_DEPTH500,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,10675.00000000001,-48.0,,30349.999999999964
2026-04-28,actual_system,,44,-9049.999999999869,-9049.999999999869,0.4772727272727273,-205.6818181818152,0.7484364141765145,-33624.999999999854,16,14,10,4,2,-1199.9999999999886,3.399122636363636,1.9659090909090908,-1.988636363636361,0.0,0.0,0.0,0.0
2026-04-28,ATM100_SCORE4_P80_300_SPREAD1P5_DEPTH250,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,ATM200_SCORE5_P100_350_SPREAD2_DEPTH250,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,CTX_ATM100_SCORE4_P80_300,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,CTX_ATM200_SCORE5_P100_350,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,LOOSE_CTX_ATM100_SCORE4_P80_300,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,ATM100_SCORE4_TRANSMISSION,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,ATM100_SCORE4_STRONG_TRANSMISSION,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,ATM_ONLY_SCORE5_P100_300_SPREAD1P5_DEPTH500,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-28,CTX_ATM_ONLY_SCORE5_P100_300_SPREAD1P5_DEPTH500,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,9049.999999999869,-44.0,,33624.999999999854
2026-04-29,actual_system,,39,-26199.999999999905,-26199.999999999905,0.358974358974359,-671.7948717948693,0.42606790799561994,-42124.99999999988,11,13,8,7,3,524.9999999999773,3.726926538461539,1.7499999999999984,-2.5589743589743548,0.0,0.0,0.0,0.0
2026-04-29,ATM100_SCORE4_P80_300_SPREAD1P5_DEPTH250,35.0,33,15856.000000000033,15856.000000000033,0.3333333333333333,480.48484848484946,1.642073294189109,-9139.000000000022,7,16,10,0,6,17423.999999999985,2.515151515151515,1.3378787878787863,-0.8409090909090892,42055.99999999994,-6.0,1.216005386193489,32985.99999999986
2026-04-29,ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,6.0,6,17423.999999999985,17423.999999999985,0.6666666666666666,2903.9999999999977,11.421052631578885,-1672.0000000000073,2,1,3,0,6,17423.999999999985,3.0,3.2166666666666637,-0.3249999999999981,43623.99999999989,-33.0,10.994984723583265,40452.999999999876
2026-04-29,ATM200_SCORE5_P100_350_SPREAD2_DEPTH250,21.0,21,16660.999999999993,16660.999999999993,0.47619047619047616,793.3809523809521,2.2924520983631917,-4097.000000000007,2,7,12,0,21,16660.999999999993,2.4285714285714284,1.5476190476190477,-0.5214285714285736,42860.9999999999,-18.0,1.8663841903675717,38027.999999999876
2026-04-29,CTX_ATM100_SCORE4_P80_300,11.0,11,-6037.999999999923,-6037.999999999923,0.09090909090909091,-548.9090909090838,0.37117267235992885,-7442.0,1,8,2,0,0,0.0,1.4545454545454546,0.5727272727272686,-0.9363636363636322,20161.99999999998,-28.0,-0.0548952356356911,34682.99999999988
2026-04-29,CTX_ATM200_SCORE5_P100_350,5.0,5,-4657.99999999998,-4657.99999999998,0.2,-931.599999999996,0.11612903225806884,-3424.999999999991,0,2,3,0,5,-4657.99999999998,2.2,0.5899999999999977,-0.7800000000000011,21541.999999999927,-34.0,-0.3099388757375511,38699.99999999989
2026-04-29,LOOSE_CTX_ATM100_SCORE4_P80_300,19.0,19,-5780.999999999834,-5780.999999999834,0.15789473684210525,-304.26315789472807,0.6764607118871797,-7205.999999999964,2,13,4,0,3,7769.000000000055,1.6842105263157894,0.8105263157894725,-0.9868421052631519,20419.000000000073,-20.0,0.25039280389155977,34918.99999999992
2026-04-29,ATM100_SCORE4_TRANSMISSION,24.0,23,3253.000000000037,3253.000000000037,0.2608695652173913,141.43478260869725,1.1536753590325037,-8026.000000000012,4,12,7,0,5,14959.999999999996,2.4347826086956523,1.23478260869565,-0.9869565217391275,29452.99999999994,-16.0,0.7276074510368837,34098.99999999987
2026-04-29,ATM100_SCORE4_STRONG_TRANSMISSION,22.0,21,61.00000000001137,61.00000000001137,0.23809523809523808,2.904761904762446,1.0029147553516826,-8576.000000000024,3,11,7,0,5,14959.999999999996,2.0,1.1952380952380923,-1.0690476190476186,26260.999999999916,-18.0,0.5768468473560626,33548.99999999986
2026-04-29,ATM_ONLY_SCORE5_P100_300_SPREAD1P5_DEPTH500,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,26199.999999999905,-39.0,,42124.99999999988
2026-04-29,CTX_ATM_ONLY_SCORE5_P100_300_SPREAD1P5_DEPTH500,0.0,0,0.0,0.0,,,,0.0,0,0,0,0,0,0.0,,,,26199.999999999905,-39.0,,42124.99999999988
2026-04-30,actual_system,,51,-4499.999999999998,-4499.999999999998,0.5686274509803921,-88.23529411764703,0.913586173787806,-40425.00000000002,25,9,6,11,11,-6074.999999999989,1.8404734509803926,3.207843137254901,-2.248039215686276,0.0,0.0,0.0,0.0
2026-04-30,ATM100_SCORE4_P80_300_SPREAD1P5_DEPTH250,1263.0,449,127742.99999999988,127742.99999999988,0.35412026726057905,284.5055679287303,1.1414640196587622,-159239.0,68,226,151,3,104,74999.0,2.162583518930958,1.183407572383073,-0.8614699331848555,132242.99999999988,398.0,0.22787784587095616,-118813.99999999997
2026-04-30,ATM100_SCORE5_P80_300_SPREAD2_DEPTH250,252.0,178,139126.0000000003,139126.0000000003,0.34269662921348315,781.6067415730354,1.4438142389577584,-36743.99999999999,11,89,76,2,178,139126.0000000003,2.0168539325842696,1.3741573033707868,-0.7985955056179768,143626.0000000003,127.0,0.5302280651699524,3681.000000000029
2026-04-30,ATM200_SCORE5_P100_350_SPREAD2_DEPTH250,232.0,173,58186.000000000306,58186.000000000306,0.3236994219653179,336.3352601156087,1.1782058742458126,-38984.99999999984,14,90,65,4,173,58186.000000000306,1.8670520231213872,1.4985549132947973,-0.992485549132947,62686.000000000306,122.0,0.26461970045800653,1440.000000000182
2026-04-30,CTX_ATM100_SCORE4_P80_300,369.0,195,73709.99999999959,73709.99999999959,0.3487179487179487,377.9999999999979,1.1740919279069044,-83448.00000000023,34,102,55,3,41,67796.99999999996,2.230769230769231,1.3407692307692296,-0.9405128205128208,78209.99999999959,144.0,0.2605057541190984,-43023.00000000021
2026-04-30,CTX_ATM200_SCORE5_P100_350,68.0,58,153713.0,153713.0,0.43103448275862066,2650.2241379310344,2.611416291015831,-17176.999999999927,12,26,19,1,58,153713.0,1.9482758620689655,2.6543103448275844,-0.9706896551724126,158213.0,7.0,1.6978301172280252,23248.000000000095
2026-04-30,LOOSE_CTX_ATM100_SCORE4_P80_300,667.0,340,113680.99999999945,113680.99999999945,0.34411764705882353,334.35588235293955,1.156845945192702,-97965.00000000017,53,175,105,6,83,111202.99999999984,2.2176470588235295,1.2347058823529407,-0.9280882352941182,118180.99999999945,289.0,0.24325977140489596,-57540.00000000015
2026-04-30,ATM100_SCORE4_TRANSMISSION,896.0,405,125080.99999999997,125080.99999999997,0.3358024691358025,308.8419753086419,1.1482691012887503,-153321.00000000012,61,212,130,2,117,84030.99999999994,2.1358024691358026,1.2030864197530862,-0.8918518518518521,129580.99999999997,354.0,0.23468292750094422,-112896.00000000009
2026-04-30,ATM100_SCORE4_STRONG_TRANSMISSION,801.0,382,132826.00000000035,132826.00000000035,0.3324607329842932,347.71204188481767,1.1701518769407355,-120661.99999999988,57,198,126,1,121,64720.00000000009,2.0916230366492146,1.2043193717277487,-0.8856020942408377,137326.00000000035,331.0,0.2565657031529295,-80236.99999999985
2026-04-30,ATM_ONLY_SCORE5_P100_300_SPREAD1P5_DEPTH500,10.0,10,17767.999999999996,17767.999999999996,0.3,1776.7999999999997,2.4360300654651184,-6491.00000000003,1,6,3,0,10,17767.999999999996,1.8,1.7550000000000026,-0.5700000000000032,22267.999999999993,-41.0,1.5224438916773124,33933.99999999999
2026-04-30,CTX_ATM_ONLY_SCORE5_P100_300_SPREAD1P5_DEPTH500,2.0,2,3808.000000000002,3808.000000000002,0.5,1904.000000000001,5.072727272727191,-935.0000000000191,0,1,1,0,2,3808.000000000002,2.0,1.2750000000000057,-0.2750000000000057,8308.0,-49.0,4.159141098939385,39490.0
